Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201200000612,1.0,1,1,1,5.0,21.0,0.0,0.0,0.0,1971.0,A01
201200022806,,3,3,2,3.0,93.0,3.0,3.0,1.0,1930.0,A01
201200031351,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1980.0,A01
201200061626,1.0,1,3,1,0.0,93.0,0.0,0.0,0.0,2000.0,A01
201200047648,1.0,1,4,2,1.0,22.0,0.0,0.0,0.0,1969.0,B01
201200061486,,3,4,2,5.0,93.0,0.0,3.0,2.0,1996.0,A01
201200042667,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1987.0,B01
201200000660,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1985.0,B02
201200003714,1.0,1,3,2,9.0,11.0,0.0,0.0,0.0,1930.0,A01
201200006167,1.0,1,3,2,5.0,22.0,0.0,0.0,0.0,1999.0,B02
201200013345,1.0,1,3,1,4.0,21.0,0.0,0.0,0.0,1979.0,B02
201200038370,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1939.0,D01
201200032299,,3,4,1,0.0,93.0,3.0,3.0,1.0,2000.0,A01
201200041954,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1984.0,A01
201200034484,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1970.0,D01
201200018793,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1961.0,B02
201200024487,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,1972.0,B01
201200044912,2.0,2,1,1,5.0,21.0,0.0,0.0,0.0,1993.0,A01
201200056285,1.0,1,1,2,4.0,11.0,0.0,0.0,0.0,1973.0,A01
201200009944,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1989.0,A01
201200044371,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1976.0,A01
201200035842,,3,4,2,4.0,93.0,3.0,3.0,1.0,1958.0,A01
201200058527,1.0,1,1,2,5.0,11.0,0.0,0.0,0.0,1988.0,B01
201200009697,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1981.0,A01
201200035486,1.0,1,1,1,1.0,13.0,0.0,0.0,0.0,1966.0,A01
201200038383,1.0,1,1,2,0.0,11.0,0.0,0.0,0.0,1966.0,A01
201200040213,1.0,1,4,1,2.0,11.0,0.0,0.0,0.0,1994.0,A01
201200043617,1.0,1,4,2,4.0,11.0,0.0,0.0,0.0,1951.0,C01
201200061669,2.0,2,1,2,1.0,11.0,0.0,0.0,0.0,1946.0,B01
201200022950,4.0,2,4,1,5.0,32.0,0.0,0.0,0.0,2009.0,A01
201200056735,,4,4,2,0.0,,3.0,3.0,1.0,1986.0,A01
201200035511,1.0,1,4,2,0.0,43.0,0.0,0.0,0.0,1967.0,B01
201200000060,2.0,2,3,2,0.0,21.0,0.0,0.0,0.0,1962.0,A01
201200019569,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1992.0,A01
201200033609,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1993.0,A01
201200057578,1.0,1,1,1,5.0,21.0,0.0,0.0,0.0,1959.0,B01
201200026235,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1956.0,B01
201200021472,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1979.0,G07
201200005799,1.0,1,4,1,1.0,11.0,0.0,0.0,0.0,1984.0,B02
201200056380,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1962.0,C01
201200001168,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1966.0,B02
201200014858,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1962.0,C01
201200036101,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1966.0,B01
201200003015,1.0,1,3,2,5.0,11.0,0.0,0.0,0.0,1958.0,A01
201200028039,2.0,2,1,1,5.0,11.0,0.0,0.0,0.0,1989.0,A01
201200034178,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1976.0,A01
201200055785,1.0,1,4,1,4.0,23.0,0.0,0.0,0.0,1989.0,B01
201200057623,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1975.0,B01
201200022588,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1960.0,Z01
201200040528,1.0,1,4,1,5.0,92.0,0.0,0.0,0.0,1978.0,A01
201200027303,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1974.0,B01
201200056657,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1969.0,C01
201200018436,5.0,2,3,1,0.0,1.0,0.0,0.0,0.0,1992.0,A01
201200035987,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1959.0,B01
201200021856,,3,3,2,3.0,93.0,3.0,3.0,1.0,1951.0,A01
201200019302,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1948.0,B02
201200041700,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1980.0,A01
201200022364,1.0,1,3,1,9.0,11.0,0.0,0.0,0.0,1941.0,A01
201200017939,5.0,2,3,1,0.0,13.0,0.0,0.0,0.0,2000.0,A01
201200042981,3.0,2,1,2,0.0,11.0,0.0,0.0,0.0,1989.0,B01
201200018956,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1966.0,B02
201200031721,3.0,2,1,1,4.0,93.0,0.0,0.0,0.0,1984.0,C01
201200025905,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1989.0,B01
201200061178,1.0,1,3,1,5.0,13.0,0.0,0.0,0.0,1990.0,A01
201200059575,1.0,1,3,1,0.0,13.0,0.0,0.0,0.0,1960.0,A01
201200056422,,3,4,2,5.0,,2.0,3.0,1.0,1959.0,A01
201200046907,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1994.0,A01
201200029481,1.0,1,4,1,5.0,93.0,0.0,0.0,0.0,1979.0,A01
201200030729,1.0,1,4,2,1.0,11.0,0.0,0.0,0.0,1966.0,B01
201200061167,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1954.0,B01
201200022978,2.0,2,3,1,0.0,11.0,0.0,0.0,0.0,1994.0,B02
201200020484,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1985.0,A01
201200050350,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1990.0,A01
201200029989,2.0,2,4,1,5.0,23.0,0.0,0.0,0.0,1997.0,A01
201200016957,1.0,1,4,1,9.0,11.0,0.0,0.0,0.0,1991.0,A01
201200041821,3.0,2,4,1,5.0,11.0,0.0,0.0,0.0,2007.0,A01
201200048003,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1992.0,A01
201200004502,2.0,2,1,1,5.0,11.0,0.0,0.0,0.0,1992.0,A01
201200059321,,3,4,2,5.0,,4.0,3.0,1.0,1938.0,Z01
201200032666,,3,3,1,2.0,93.0,1.0,3.0,1.0,1992.0,A01
201200007210,1.0,1,3,1,1.0,11.0,0.0,0.0,0.0,1967.0,A01
201200019983,4.0,2,4,2,0.0,11.0,0.0,0.0,0.0,1994.0,A01
201200060008,1.0,1,1,2,1.0,21.0,0.0,0.0,0.0,1964.0,B01
201200037221,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1976.0,A01
201200000444,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1966.0,A01
201200019632,2.0,2,3,2,0.0,21.0,0.0,0.0,0.0,1986.0,B02
201200040205,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1984.0,A01
201200019311,3.0,2,3,1,0.0,31.0,0.0,0.0,0.0,2009.0,A01
201200029737,1.0,1,4,1,0.0,11.0,0.0,0.0,0.0,1978.0,E01
201200042892,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1976.0,A01
201200061936,1.0,1,3,1,4.0,11.0,0.0,0.0,0.0,1973.0,A01
201200043279,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1915.0,B01
